frame_idx	timestamp	confidence	errorDeg	dxCm	dyCm	gaze_ts	gaze_x	gaze_y
0.0	0.031106	1.0	6.22129247935514	3.7026985229492198	15.92687813232422	15963732.875	681.4285184	311.9377536
0.0	0.031106	1.0	5.851938001855959	3.9525993408203135	14.857042469482423	15963741.275	682.811456	317.57536799999997
0.0	0.031106	1.0	5.56036705964121	3.9332130493164073	14.063211597900391	15963749.675	682.735936	321.7626144
0.0	0.031106	1.0	5.391058152572692	4.0531547607421885	13.562879719238282	15963758.075	683.3978367999999	324.398484
0.0	0.031106	1.0	5.1077839405459	3.9905021728515635	12.800073780517579	15963766.475	683.0873343999999	328.4217072
0.0	0.031106	1.0	4.988236751608211	4.086922460937501	12.438028492431641	15963774.875	683.6172415999999	330.3281736
1.0	0.064616	1.0	5.458993171642947	3.8790329040527354	13.800207294921876	15963783.275	684.8866432	332.7079608
1.0	0.064616	1.0	5.458993171642947	3.8790329040527354	13.800207294921876	15963783.275	684.8866432	332.7079608
1.0	0.064616	1.0	5.348754172419589	3.898659521484376	13.491830982666016	15963791.675	684.9997952	334.3253976
1.0	0.064616	1.0	5.309665885651495	4.04929047241211	13.339552082519532	15963800.075	685.8129408000001	335.122272
2.0	0.081371	1.0	5.322105149506714	3.8755119384765635	13.42526451538086	15963808.475	685.9286912	335.8828584
2.0	0.081371	1.0	5.42381117121205	3.9915206970214854	13.67129723022461	15963816.875	686.5463424	334.5942672
3.0	0.098126	1.0	5.466427530190732	4.17358475341797	13.73452965209961	15963825.275	688.1961855999999	333.157068
3.0	0.098126	1.0	5.648234533327572	4.0834587158203135	14.262064136962891	15963833.675	687.6966400000001	330.4065024
4.0	0.11488200000000001	1.0	5.607522317950782	3.958454901123048	14.185564197998048	15963842.075	687.296576	327.87468
4.0	0.11488200000000001	1.0	5.828524348279726	3.852639013671876	14.819288410644532	15963850.475	686.7045631999999	324.5742432
5.0	0.131637	1.0	5.73309728412533	3.8629158081054698	14.555639423828126	15963858.875	686.4441472	322.3018512
5.0	0.131637	1.0	6.052324711322272	3.7216308654785166	15.462579884033204	15963867.275	685.6426752	317.5847136
6.0	0.148392	1.0	5.925852072849519	3.9570434631347666	15.058153309326173	15963875.675	685.9810304	315.7593552
6.0	0.148392	1.0	6.178287805191507	3.8118522705078135	15.78394142578125	15963884.075	685.1590272	311.9859576
7.0	0.165147	1.0	6.047263461971929	3.933083349609376	15.396322407226563	15963892.475	684.805376	310.2827256
7.0	0.165147	1.0	6.163240851602606	3.9152992309570323	15.717531361083985	15963900.875	684.688128	308.60832239999996
8.0	0.18190199999999998	1.0	6.084983421852653	3.874081427001954	15.5142270703125	15963909.275	682.8018944	307.0371816
8.0	0.18190199999999998	1.0	6.05987588249461	3.669461065673829	15.495588459472657	15963917.675	681.7016192	307.14978959999996
9.0	0.198658	1.0	5.563372217256618	3.5906799377441416	14.162737049560548	15963926.075	679.8468736	312.5615976
9.0	0.198658	1.0	4.191175118402686	3.062569433593751	10.556825794677735	15963934.475	677.2804864	331.4714904
10.0	0.21541300000000002	0.99	2.306255407736813	3.610623175048829	4.843282856445313	15963942.875	679.16736	361.27050479999997
10.0	0.21541300000000002	1.0	1.7597814949578268	3.527211004638673	2.966055073242188	15963951.275	678.8558720000001	371.05457759999996
11.0	0.232168	1.0	1.5218876751482664	3.1800468505859385	2.40194908569336	15963959.675	675.5677952000001	375.6651984
11.0	0.232168	1.0	1.6345899381651912	3.428944403076173	2.5622426647949226	15963968.075	676.8889728	374.80778639999994
12.0	0.248923	1.0	1.700679496247264	3.6006515563964854	2.6211721081542976	15963976.475	676.5505280000001	377.2322712
12.0	0.248923	1.0	1.5778869693292623	3.2264831604003916	2.581232227783204	15963984.875	674.5485567999999	377.4790728
13.0	0.265678	1.0	1.6797419057545306	3.389851385498048	2.803297199707032	15963993.275	673.8731392	379.8465336
13.0	0.265678	1.0	1.5360706315694905	3.138172918701173	2.5162412304687507	15964001.675	672.5512191999999	381.37171680000006
14.0	0.282434	1.0	1.717130229220137	3.5122421325683604	2.8080617565917976	15964010.075	672.7977088	383.78504879999997
14.0	0.282434	1.0	1.5360292830353899	3.217800909423829	2.4133969921875007	15964018.475	671.2591487999999	385.87635359999996
15.0	0.29918900000000004	1.0	1.7586733679165623	3.5864608825683604	2.8895055432128913	15964026.875	671.360768	387.14523840000004
15.0	0.29918900000000004	1.0	1.658218277671007	3.556690985107423	2.491293110351563	15964035.275	671.2420608	389.2233816
