frame_idx	timestamp	confidence	errorDeg	dxCm	dyCm	gaze_ts	gaze_x	gaze_y
1.0	0.015151	1.0	15.550639069762799	-16.55404204711914	-38.31860252429962	1668814.431	530.8060672	565.7474592
1.0	0.015151	1.0	15.550639069762799	-16.55404204711914	-38.31860252429962	1668814.431	530.8060672	565.7474592
1.0	0.015151	1.0	15.525691254148594	-16.270564263916015	-38.36341007759094	1668822.831	532.1947776	565.9405704000001
1.0	0.015151	1.0	15.483629802675306	-15.623969262695311	-38.50330515911102	1668831.231	535.3771264000001	566.546832
2.0	0.031907	1.0	15.52708446006248	-16.19948119506836	-38.3977442603302	1668839.631	536.4601600000001	566.0611704
2.0	0.031907	1.0	15.495753749077712	-15.629283135986327	-38.53803285171509	1668848.031	539.2713472	566.6823576
3.0	0.048662	1.0	15.599269470996981	-16.156760400390624	-38.63656099845886	1668856.431	540.9531264	566.579736
3.0	0.048662	1.0	15.519399458504425	-15.747237390136718	-38.562010012168884	1668864.831	542.9213184	566.252064
4.0	0.065417	1.0	15.657154731053746	-16.06780928955078	-38.85052212287903	1668873.231	545.6324096000001	566.4693528
4.0	0.065417	1.0	15.54901399698599	-15.730292504882811	-38.65911086608887	1668881.631	547.2194944	565.626996
5.0	0.082172	1.0	15.73485991223907	-16.134368127441405	-39.060518107910156	1668890.031	549.553408	565.9827192
5.0	0.082172	1.0	15.601346557485043	-15.615519708251952	-38.86478217651367	1668898.431	552.0269568	565.1299944
6.0	0.09892700000000001	1.0	15.749603876611502	-16.169043725585936	-39.09127100517273	1668906.831	553.4807552	564.36894
6.0	0.09892700000000001	1.0	15.680185534666942	-15.894965356445311	-38.99180134346008	1668915.231	554.7903232	563.938128
7.0	0.11568300000000001	1.0	15.801269099438606	-16.123210137939452	-39.26812990715027	1668923.631	557.5414784	563.4110952
7.0	0.11568300000000001	1.0	15.66243878915567	-15.677191918945311	-39.025863729019164	1668932.031	559.6589184	562.3505640000001
8.0	0.132438	1.0	15.78130075821816	-16.00697631225586	-39.25468905975342	1668940.431	561.5320064	561.6639432
8.0	0.132438	1.0	15.641080778108218	-15.649939721679686	-38.97182258178711	1668948.831	563.2103424000001	560.415168
9.0	0.14919300000000002	1.0	15.656955149525544	-15.727984613037108	-38.988725028533935	1668957.231	565.541056	558.9769176
9.0	0.14919300000000002	0.63	15.861795720705521	-17.184836572265624	-39.00242646743774	1668965.631	558.4360704000001	558.9941184
10.0	0.165948	0.81	15.939710992030497	-17.32281417236328	-39.182588897247314	1668974.031	559.9443456	558.5067864
10.0	0.165948	1.0	15.464009795591638	-15.236037438964843	-38.59900661518097	1668982.431	569.9894656	555.9375096
11.0	0.182703	1.0	15.41105283629949	-15.28383941040039	-38.41956218292236	1668990.831	571.2775552	553.9329432
11.0	0.182703	1.0	15.296484909745931	-15.05221099243164	-38.16437812854767	1668999.231	572.3506688	552.7890216000001
12.0	0.199459	1.0	15.248621969159567	-14.830615228271483	-38.10658534576416	1669007.631	574.5259776	551.6877311999999
12.0	0.199459	1.0	15.068836489879144	-14.41802901611328	-37.72421761562347	1669016.031	576.457472	549.9595008
