tracker,recording,event,stf,etf
pupil-labs,wr1,validation1,2570,3310
pupil-labs,wr1,baseline,3360,4300
pupil-labs,wr1,vowels,4450,6110
pupil-labs,wr1,eyebrows,6250,7180
pupil-labs,wr1,mov_hor,7550,8190
pupil-labs,wr1,mov_ver,8210,8880
pupil-labs,wr1,mov_depth,8890,9610
pupil-labs,wr1,validation2,10080,10600
pupil-labs,wr2,validation1,3340,3870
pupil-labs,wr2,baseline,3900,4800
pupil-labs,wr2,vowels,4880,6010
pupil-labs,wr2,eyebrows,6150,6900
pupil-labs,wr2,mov_hor,7020,7800
pupil-labs,wr2,mov_ver,7810,8510
pupil-labs,wr2,mov_depth,8530,9200
pupil-labs,wr2,validation2,9470,10130
smi,av1,validation1,80,440
smi,av1,baseline,450,820
smi,av1,vowels,900,1500
smi,av1,eyebrows,1590,2050
smi,av1,mov_hor,2260,2525
smi,av1,mov_ver,2535,2785
smi,av1,mov_depth,2795,3030
smi,av1,validation2,3245,3570
smi,av2,validation1,90,440
smi,av2,baseline,450,800
smi,av2,vowels,835,1350
smi,av2,eyebrows,1390,1740
smi,av2,mov_hor,1970,2230
smi,av2,mov_ver,2250,2520
smi,av2,mov_depth,2550,2830
smi,av2,validation2,3200,3610
smi,aw1,validation1,180,460
smi,aw1,baseline,480,790
smi,aw1,vowels,945,1530
smi,aw1,eyebrows,1640,2020
smi,aw1,mov_hor,2210,2610
smi,aw1,mov_ver,2640,2910
smi,aw1,mov_depth,2940,3300
smi,aw1,validation2,3560,3850
smi,aw2,validation1,65,315
smi,aw2,baseline,320,700
smi,aw2,vowels,725,1260
smi,aw2,eyebrows,1300,1610
smi,aw2,mov_hor,1720,2000
smi,aw2,mov_ver,2015,2240
smi,aw2,mov_depth,2280,2550
smi,aw2,validation2,2680,2895
smi,gh1,validation1,100,340
smi,gh1,baseline,350,700
smi,gh1,vowels,720,1255
smi,gh1,eyebrows,1300,1650
smi,gh1,mov_hor,1800,2130
smi,gh1,mov_ver,2150,2490
smi,gh1,mov_depth,2510,2850
smi,gh1,validation2,3100,3325
smi,gh2,validation1,60,325
smi,gh2,baseline,330,685
smi,gh2,vowels,720,1230
smi,gh2,eyebrows,1260,1580
smi,gh2,mov_hor,1690,2030
smi,gh2,mov_ver,2040,2330
smi,gh2,mov_depth,2340,2580
smi,gh2,validation2,2770,3000
smi,gl1,validation1,155,670
smi,gl1,baseline,680,920
smi,gl1,vowels,1100,1800
smi,gl1,eyebrows,1900,2450
smi,gl1,mov_hor,2950,3260
smi,gl1,mov_ver,3280,3610
smi,gl1,mov_depth,3620,3970
smi,gl1,validation2,4465,4980
smi,gl2,validation1,105,445
smi,gl2,baseline,450,780
smi,gl2,vowels,795,1300
smi,gl2,eyebrows,1385,1670
smi,gl2,mov_hor,1830,2135
smi,gl2,mov_ver,2145,2415
smi,gl2,mov_depth,2425,2700
smi,gl2,validation2,3030,3400
smi,km1,validation1,115,335
smi,km1,baseline,360,650
smi,km1,vowels,800,1424
smi,km1,eyebrows,1510,1800
smi,km1,mov_hor,1890,2135
smi,km1,mov_ver,2145,2425
smi,km1,mov_depth,2435,2740
smi,km1,validation2,2925,3130
smi,km2,validation1,48,250
smi,km2,baseline,260,580
smi,km2,vowels,610,1190
smi,km2,eyebrows,1230,1520
smi,km2,mov_hor,1595,1890
smi,km2,mov_ver,1900,2170
smi,km2,mov_depth,2180,2510
smi,km2,validation2,2565,2730
smi,mn1,validation1,90,375
smi,mn1,baseline,380,700
smi,mn1,vowels,740,1160
smi,mn1,eyebrows,1210,1510
smi,mn1,mov_hor,1640,1935
smi,mn1,mov_ver,1945,2200
smi,mn1,mov_depth,2215,2480
smi,mn1,validation2,2680,2940
smi,mn2,validation1,70,315
smi,mn2,baseline,320,580
smi,mn2,vowels,610,1070
smi,mn2,eyebrows,1105,1600
smi,mn2,mov_hor,1740,2000
smi,mn2,mov_ver,2030,2270
smi,mn2,mov_depth,2310,2580
smi,mn2,validation2,2730,2980
