frame_idx	timestamp	confidence	errorDeg	dxCm	dyCm	gaze_ts	gaze_x	gaze_y
1.0	0.015418	0.08	24.902093532991614	-15.573142236328124	-67.87060531188965	61802338.637	571.7924608	655.6422024
1.0	0.015418	0.08	24.902093532991614	-15.573142236328124	-67.87060531188965	61802338.637	571.7924608	655.6422024
1.0	0.015418	0.05	23.653244319927264	-49.24984592781067	-43.4841483454895	61802347.037	405.15999999999997	544.6371096
1.0	0.015418	0.09	27.698429441962748	-62.89691562042236	-47.38134368469238	61802355.437	348.83125759999996	554.9208912
2.0	0.032173	0.05	20.773787410963884	-52.76202667341232	-21.305127940673827	61802363.837	380.16492800000003	441.94381200000004
2.0	0.032173	0.08	23.777275963569057	-58.59234589920044	-30.568059287567138	61802372.237	358.2921088	483.2805744
3.0	0.048929	0.1	28.07502564387178	-71.39391059265137	-36.114754996795654	61802380.637	309.51541760000003	502.1538552
3.0	0.048929	0.1	27.651708684532565	-76.5376941619873	-17.845367274780273	61802389.037	280.293632	419.32156319999996
4.0	0.06568399999999999	0.11	29.233457398713806	-83.93957061157226	1.1283551831054695	61802397.437	247.7344896	330.151104
4.0	0.06568399999999999	0.12	33.097122171142935	-97.56980819091797	6.300695576171876	61802405.837	200.81621760000002	307.2007008
5.0	0.082439	0.12	36.352792278400294	-109.12847442016601	16.700002827148438	61802414.237	166.9337344	262.7414208
5.0	0.082439	0.14	37.68151153114504	-109.77680129394531	37.03563515136719	61802422.637	167.35304960000002	176.652504
6.0	0.099194	0.15	40.53155772673089	-121.91636580810547	39.82158485839844	61802431.037	136.7931392	170.8209576
6.0	0.099194	0.13	41.7397318810634	-124.77699965820312	48.3906919140625	61802439.437	131.5028096	138.4014384
7.0	0.115949	0.13	46.942948676788625	-156.35811538085937	36.37959114501953	61802447.837	51.6596608	196.922952
7.0	0.115949	0.14	47.60555165444348	-158.961051171875	41.55522743652344	61802456.237	43.95936	178.2137736
8.0	0.13270500000000002	0.1	47.90070976542248	-159.2364875732422	46.945348896484376	61802464.63699999	44.7302656	157.3485408
8.0	0.13270500000000002	0.05	48.38565460858651	-161.85109633789062	48.15844551513672	61802473.037	36.7764864	153.40002479999998
9.0	0.14946	1.0	38.81338377523774	-80.56069297180176	-89.82762702514648	61802481.437	325.06634239999994	690.1446023999999
9.0	0.14946	0.05	49.750238949561435	-74.7171317993164	-160.6647737841797	61802489.837	397.4354816	866.8969056000001
10.0	0.166215	0.09	49.77006279661861	-110.93365401611328	-138.3243730883789	61802498.237	273.0239488	791.8159608
10.0	0.166215	0.12	51.45035369095442	-101.66181105957031	-158.4281557421875	61802506.637	314.3342848	844.0698960000001
11.0	0.18297	0.15	52.27079652866824	-106.29942244873047	-162.1332109790039	61802515.037	302.6566528	849.0639816
11.0	0.18297	0.08	54.36346148017866	-124.30141372070312	-168.31148704101562	61802523.43700001	253.05952000000002	854.8901496
12.0	0.19972499999999999	0.05	55.1047661123366	-129.45051497802734	-171.73392661621094	61802531.837	239.3171968	860.1767496
12.0	0.19972499999999999	0.06	53.79730158215596	-133.1680366455078	-155.76286490966797	61802540.237	221.2769664	818.2650096
13.0	0.216481	0.05	54.69981918291245	-145.13078994140625	-154.33073600341797	61802548.637	184.6392448	810.4015296
13.0	0.216481	0.08	44.33571456279677	-103.77336043701172	-103.49574454833984	61802557.037	263.57916159999996	707.9740704000001
14.0	0.233236	0.04	24.297764520839046	-47.209823316192626	-48.552092395324706	61802565.437	430.7980672	560.3058072
14.0	0.233236	0.03	0.9832867772277499	-2.557566827392577	-0.2947176318359368	61802573.837	6239.7705728	-3509.3075256
15.0	0.24999100000000002	0.02	1.6012859013258702	-3.9769546447753896	-1.3293474536132805	61802582.237	128000.0	-71280.0
15.0	0.24999100000000002	0.04	1.6012859013258702	-3.9769546447753896	-1.3293474536132805	61802590.637	128000.0	-71280.0
16.0	0.266746	0.01	1.616291239696361	-4.022174066162108	-1.3178423266601555	61802599.037	128000.0	-71280.0
16.0	0.266746	1.0	38.58220016172789	-80.61870116577148	-88.4355791430664	61802607.437	324.4310528	683.6173344
17.0	0.283501	0.16	50.74668884236229	-96.32234114990234	-156.267877421875	61802615.837	328.0249472	841.2481223999999
17.0	0.283501	0.15	51.0586679189499	-93.79729384765625	-160.18090232421875	61802624.237	338.0811008	851.3832024
18.0	0.300257	0.1	53.24319650863827	-112.83674163208008	-166.12764915039062	61802632.637	285.8330624	853.032708
18.0	0.300257	0.08	54.20795429909656	-120.42403334960937	-169.64406760742187	61802641.037	265.3567872	857.8581479999999
19.0	0.317012	0.05	54.65115649028523	-123.78613967285156	-171.45437034179687	61802649.437	256.0074624	861.2731511999999
19.0	0.317012	0.06	55.14601662795937	-128.68645400390625	-172.71930869628906	61802657.837	241.8398976	862.9364664
20.0	0.333767	0.02	55.15542273739497	-133.93636245117187	-168.77709373046875	61802666.237	224.3943424	851.3156015999999
20.0	0.333767	0.04	33.21178315732904	-67.69869059906006	-71.1363848071289	61802674.63699999	358.2277888	636.2081856
21.0	0.350522	0.02	24.315109165961584	51.45842819824219	44.107946552734376	61802683.037	2238.068992	-892.9495224
21.0	0.350522	0.02	1.6078693193034466	-3.970297998046874	-1.401792369384765	61802691.437	128000.0	-71280.0
22.0	0.367277	0.04	1.5916910545535874	-3.926211541748046	-1.3992861132812493	61802699.837	128000.0	-71280.0
22.0	0.367277	0.01	1.5916910545535874	-3.926211541748046	-1.3992861132812493	61802708.237	128000.0	-71280.0
23.0	0.384033	1.0	38.394921173242736	-79.87414664611816	-88.03100379516601	61802716.63699999	326.3549824	682.7862527999999
23.0	0.384033	0.15	51.127686637546155	-95.45403975830078	-159.73305686523437	61802725.03699999	332.73792000000003	848.8225008000001
24.0	0.40078800000000003	0.12	51.41101261926189	-99.03765029296875	-159.7700289111328	61802733.437	322.09784319999994	847.1857032
24.0	0.40078800000000003	0.14	53.215912767778384	-105.78205794677734	-170.47187217285156	61802741.837	308.3594752	867.1496328
25.0	0.417543	0.06	53.72170483746688	-109.73350447998047	-172.40236838867187	61802750.237	297.726784	870.005772
25.0	0.417543	0.06	54.44212779079159	-115.75934523925781	-175.0260103564453	61802758.637	281.019904	873.7431624
26.0	0.434298	0.07	54.67742883027576	-118.36167067871094	-175.49111350585937	61802767.037	273.4614144	873.6544224
26.0	0.434298	0.08	55.2977614091811	-127.52041549072266	-175.09479697753906	61802775.437	245.8075904	869.8167072
27.0	0.451053	0.07	54.66448031820514	-131.29048842773437	-165.91117270996094	61802783.837	230.7838336	845.1351072
27.0	0.451053	0.06	11.210160038173939	-17.549704736328124	-23.99558623840332	61802792.237	571.0041344	455.9788296
28.0	0.46780900000000003	0.04	54.9450806879573	163.88234787597656	137.28412453125	61802800.637	1643.4830336	-436.88148479999995
28.0	0.46780900000000003	0.05	2.5229332474450796	4.213776403808595	5.091844715576173	61802809.037	3715.9311359999997	-1954.4280696
29.0	0.48456400000000005	0.03	1.2980832004482312	-3.2658340393066396	-0.9419267993164055	61802817.437	7586.4044928	-4747.5504936
29.0	0.48456400000000005	0.02	1.6045472541749677	-3.937918847656249	-1.4655588488769524	61802825.837	128000.0	-71280.0
